,NUMERO CLIENTE,Cuatrimestre,N° Factura,SKU,Cantidad,Precio Unitario,Tipo cbio. Prom.Mes,Kilos,USD TC Prom.Mes,Rubro,Provincia,Condición de pago,Devoluciones,Kilos_Promedio,Kilos_Maximo,Kilos_Minimo,Frecuencia,USD/Ton,Indice devoluciones,Target
26,2.0,15,71,12,1090512.0,991.4536704225351,66.19326126760564,261944.3490474,264500.18400252995,Productos Lacteos,Córdoba,15.0,1,3689.3570288366195,10488.45564,-432.7102,4,1029.2431309276378,0.014084507042253521,0
27,2.0,16,60,8,1052671.0,1171.2951533333337,68.28776416666662,256481.71226940004,258480.43202163005,Productos Lacteos,Córdoba,15.0,1,4274.695204490001,10488.45564,-432.7102,4,1034.9063519379204,0.016666666666666666,0
28,2.0,17,59,6,997237.0,801.5938847457618,70.11830677966094,245273.23860339998,246525.40355243007,Productos Lacteos,Córdoba,15.0,1,4157.173535650847,10488.45564,-432.7102,4,1018.3329634486329,0.01694915254237288,0
29,2.0,18,53,5,986976.0,19.06390943396227,72.64552641509424,237469.45924360002,237205.21479960004,Productos Lacteos,Córdoba,15.0,0,4480.555834784906,10488.45564,437.018985,4,1018.0439531880177,0.0,0
30,2.0,19,50,4,878847.0,19.467572000000004,74.27925599999996,209754.10423660002,213746.01873010004,Productos Lacteos,Córdoba,15.0,0,4195.082084732,10488.45564,437.018985,4,1047.513064900189,0.0,0
31,2.0,20,59,5,907942.0,21.153593220338976,76.72051355932203,224588.8112356,233050.27316483101,Productos Lacteos,Córdoba,15.0,0,3806.590020942373,10488.45564,-432.7102,4,1061.6060678057445,0.0,0
45,3.0,1,125,71,763561.0,17.279680000000013,39.76987559999996,209264.33851399994,323297.4109824099,Bebidas,Mendoza,45.0,0,1674.1147081119996,9393.75756,-2074.284224,4,1541.9870527910075,0.0,0
46,3.0,2,101,59,637137.0,17.844702970297035,41.522131188118784,180021.92319400003,260393.19437980006,Bebidas,Mendoza,45.0,1,1782.395279148515,9393.75756,-2074.284224,4,1468.7710469397196,0.009900990099009901,0
47,3.0,3,109,59,731932.0,17.89830275229358,42.51492752293578,209397.4983494,294359.1055749501,Bebidas,Mendoza,45.0,2,1921.0779665082568,10353.10865,-2623.6792,4,1452.8435596262836,0.01834862385321101,0
48,3.0,4,99,56,724176.0,17.564898989899,42.75645252525254,202676.77062109997,287161.44182375004,Bebidas,Mendoza,45.0,3,2047.2401072838381,10353.10865,-2623.6792,4,1445.6207208440705,0.030303030303030304,0
49,3.0,5,93,46,791752.0,18.457526881720426,47.48290337881723,215472.91310749992,303993.4812415502,Bebidas,Mendoza,45.0,12,2316.9130441666657,10353.10865,-2623.6792,4,1430.1020446955822,0.12903225806451613,0
50,3.0,6,141,61,1113222.0,21.24631205673758,51.85478307964553,298291.5810529001,420293.77386514994,Bebidas,Mendoza,45.0,11,2115.5431280347525,10353.10865,-2623.6792,4,1492.9249324204584,0.07801418439716312,0
51,3.0,7,161,68,1307629.0,21.705031055900626,54.984909405155314,343030.06328990014,480460.9544929002,Bebidas,Mendoza,45.0,10,2130.621511117392,9579.71025,-2623.6792,4,1475.830527597713,0.062111801242236024,0
52,3.0,8,160,67,1234824.0,21.73876250000001,56.34983758893749,324747.17785620014,457186.63492810016,Bebidas,Mendoza,45.0,9,2029.669861601251,9579.71025,-1945.12494,4,1478.8377636612709,0.05625,0
53,3.0,9,160,68,1082815.0,24.181525,58.12515937499977,294413.5057678,423426.0190347201,Bebidas,Mendoza,45.0,0,1840.0844110487499,9096.841517,0.0,4,1982.095673068069,0.0,0
54,3.0,10,129,62,833051.0,2065.3826666666637,59.431893023255654,240554.29124239995,340040.10507631995,Bebidas,Mendoza,45.0,0,1864.7619476155035,9096.841517,-7568.5022,4,2099.2729254348196,0.0,0
55,3.0,11,185,85,995219.0,1448.5769945945906,60.69927999999992,283870.7719499999,417295.5926418501,Bebidas,Mendoza,45.0,0,1534.4366051351346,9027.5144,-7568.5022,4,1936.9630774521113,0.0,0
56,3.0,12,198,83,1094953.0,1356.06445454545,61.06326111111111,302556.5235120001,450924.39009555,Bebidas,Mendoza,45.0,0,1528.0632500606066,9027.5144,-7568.5022,4,1923.7253349402295,0.0,0
57,3.0,13,202,79,1121722.0,1329.1683663366266,62.29333688118806,310894.32380000013,440362.20925373,Bebidas,Mendoza,45.0,0,1539.0808108910896,9027.5144,-7568.5022,4,1496.2765702770337,0.0,0
58,3.0,14,189,68,1042227.0,26.438624338624326,63.267101322751195,282956.45129849995,420315.07518363005,Bebidas,Mendoza,45.0,0,1497.1240809444441,8718.4073,-7568.5022,4,1505.6320849855394,0.0,0
59,3.0,15,122,45,570366.0,28.58040983606557,66.5980135245902,156885.50750849998,241735.87303810008,Bebidas,Mendoza,45.0,0,1285.9467828565573,8718.4073,-7568.5022,4,1530.4528629646559,0.0,0
60,3.0,16,106,39,501367.0,28.63773584905662,67.83179858490577,143315.843802,219295.9454787,Bebidas,Mendoza,45.0,0,1352.0362622830187,8718.4073,-6538.8055,4,1513.8250149935834,0.0,0
61,3.0,17,68,33,319353.0,29.025588235294133,69.5413985294117,85392.39469000003,142159.931722518,Bebidas,Mendoza,45.0,0,1255.7705101470592,7854.201228,-6538.80546,4,1557.1675827761733,0.0,0
62,3.0,18,91,42,491892.0,29.63703296703299,72.6154054945054,122816.42265429997,201332.962200018,Bebidas,Mendoza,45.0,2,1349.6310181791205,8037.313515,-6538.80546,4,1573.4095173724165,0.02197802197802198,0
63,3.0,19,88,46,648930.0,31.513636363636373,75.55310909090919,161925.43284829988,266503.395518908,Bebidas,Mendoza,45.0,2,1840.0617369124986,8037.313515,-1773.84196,4,1629.07710910413,0.022727272727272728,0
64,3.0,20,98,46,769193.0,32.42714285714288,76.77794897959191,191726.23781729996,314630.26117320795,Bebidas,Mendoza,45.0,2,1956.3901818091833,8037.313515,-1773.84196,4,1638.1981310136123,0.02040816326530612,0
78,4.0,1,5,2,8675.0,29.421999999999997,41.5121,4712.7808,6206.6240918,Alimentos,Córdoba,45.0,0,942.5561600000001,1590.1043,227.1577,2,1317.0142983136982,0.0,0
79,4.0,2,6,2,10425.0,29.34833333333333,42.072966666666666,5596.172100000001,7336.705446800001,Alimentos,Córdoba,45.0,0,932.6953500000001,1590.1043,227.1577,3,1310.720821099632,0.0,0
80,4.0,3,8,2,14475.0,30.451249999999995,42.4874,7940.9076000000005,10414.108734800002,Alimentos,Córdoba,45.0,0,992.6134500000001,1590.1043,227.1577,4,1311.1614312560127,0.0,0
